frequency_hz,frequency_mhz,depth_m,depth_mm,path_loss_db,snr_db,tissue_model
573469387.755102,573.469387755102,0.015,15.0,-3.1566735307136,110.7202999661593,skin+fat+muscle+bone
632653061.2244898,632.6530612244898,0.015,15.0,-2.2673385912960544,109.79579640402021,skin+fat+muscle+bone
691836734.6938776,691.8367346938776,0.015,15.0,-1.4547766599833643,108.94910990668902,skin+fat+muscle+bone
751020408.1632653,751.0204081632653,0.015,15.0,-0.7062704227988224,108.16726312341628,skin+fat+muscle+bone
810204081.632653,810.204081632653,0.015,15.0,-0.012014266533074469,107.4402730766066,skin+fat+muscle+bone
869387755.1020408,869.3877551020407,0.015,15.0,0.6357123915513363,106.76029541581572,skin+fat+muscle+bone
928571428.5714285,928.5714285714286,0.015,15.0,1.245628307393914,106.1117174432478,skin+fat+muscle+bone
987755102.0408163,987.7551020408163,0.015,15.0,1.8286871902862993,105.46725304270204,skin+fat+muscle+bone
1046938775.5102041,1046.938775510204,0.015,15.0,2.380491556829682,104.85402103743864,skin+fat+muscle+bone
1106122448.9795918,1106.1224489795918,0.015,15.0,2.9044954707931656,104.2685530623984,skin+fat+muscle+bone
1165306122.4489796,1165.3061224489795,0.015,15.0,3.403611502010091,103.70792529646569,skin+fat+muscle+bone
1224489795.9183674,1224.4897959183675,0.015,15.0,3.8803183408063924,103.1696500662023,skin+fat+muscle+bone
1283673469.3877552,1283.6734693877552,0.015,15.0,4.336742937119228,102.651593151986,skin+fat+muscle+bone
1342857142.857143,1342.857142857143,0.015,15.0,4.774724075594209,102.15190981228574,skin+fat+muscle+bone
1402040816.3265307,1402.0408163265306,0.015,15.0,5.195862204707495,101.66899466055045,skin+fat+muscle+bone
1461224489.7959185,1461.2244897959185,0.015,15.0,5.60155893932601,101.20144194375813,skin+fat+muscle+bone
1520408163.265306,1520.408163265306,0.015,15.0,5.993048703086688,100.74801373488708,skin+fat+muscle+bone
1579591836.7346938,1579.5918367346937,0.015,15.0,6.3714243159286355,100.30761421926023,skin+fat+muscle+bone
1638775510.2040815,1638.7755102040815,0.015,15.0,6.737657866112432,99.87926872512605,skin+fat+muscle+bone
1697959183.6734693,1697.9591836734694,0.015,15.0,7.092617872659737,99.46210648522418,skin+fat+muscle+bone
1757142857.142857,1757.142857142857,0.015,15.0,7.437083502350104,99.055346359928,skin+fat+muscle+bone
1816326530.6122448,1816.3265306122448,0.015,15.0,7.771756427842659,98.65828493155378,skin+fat+muscle+bone
1875510204.0816326,1875.5102040816325,0.015,15.0,8.097270781569474,98.27028651235432,skin+fat+muscle+bone
1934693877.5510204,1934.6938775510205,0.015,15.0,8.414201560983106,97.89077470850062,skin+fat+muscle+bone
1993877551.0204082,1993.8775510204082,0.015,15.0,8.723071765603587,97.51922525801388,skin+fat+muscle+bone
2053061224.489796,2053.061224489796,0.015,15.0,9.024358488788568,97.15515991851333,skin+fat+muscle+bone
2112244897.9591837,2112.2448979591836,0.015,15.0,9.31849814272967,96.79814122534812,skin+fat+muscle+bone
2171428571.4285717,2171.4285714285716,0.015,15.0,9.605890960594792,96.44776797547469,skin+fat+muscle+bone
2230612244.897959,2230.612244897959,0.015,15.0,9.886904892604457,96.10367131973217,skin+fat+muscle+bone
2289795918.367347,2289.795918367347,0.015,15.0,10.161878991391529,95.76551136772622,skin+fat+muscle+bone
2348979591.836735,2348.979591836735,0.015,15.0,10.43112636493802,95.43297422668005,skin+fat+muscle+bone
2408163265.3061223,2408.1632653061224,0.015,15.0,10.699298237544447,95.09872114160461,skin+fat+muscle+bone
2467346938.7755103,2467.3469387755104,0.015,15.0,10.989605954363384,94.7252569644859,skin+fat+muscle+bone
2526530612.244898,2526.530612244898,0.015,15.0,11.275074738141893,94.35621249288675,skin+fat+muscle+bone
2585714285.714286,2585.714285714286,0.015,15.0,11.555937993525038,93.99135171336799,skin+fat+muscle+bone
2644897959.1836734,2644.8979591836733,0.015,15.0,11.83241335847795,93.63045428530259,skin+fat+muscle+bone
2704081632.6530614,2704.081632653061,0.015,15.0,12.104704102018424,93.27331414812858,skin+fat+muscle+bone
2763265306.122449,2763.265306122449,0.015,15.0,12.373000370608858,92.91973827931788,skin+fat+muscle+bone
2822448979.591837,2822.448979591837,0.015,15.0,12.637480302453664,92.56954558389046,skin+fat+muscle+bone
2881632653.0612245,2881.6326530612246,0.015,15.0,12.898311026152594,92.22256589908869,skin+fat+muscle+bone
2940816326.530612,2940.816326530612,0.015,15.0,13.155649557819679,91.87863910015943,skin+fat+muscle+bone
3000000000.0,3000.0,0.015,15.0,13.409643608809349,91.53761429515161,skin+fat+muscle+bone
100000000.0,100.0,0.02,20.0,-16.558111328548925,124.6960223191246,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.02,20.0,-12.330193527403075,120.33744498035492,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.02,20.0,-9.46674670022945,117.3809305452165,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.02,20.0,-7.297414768818072,115.13385516093652,skin+fat+muscle+bone
